nutrient,unit,value,species
DE Fish Carni kcal,kcal/kg,5153,Atlantic Salmon - Finisher
Arginine,%,2.24,Atlantic Salmon - Finisher
Histidine,%,1.15,Atlantic Salmon - Finisher
Isoleucine,%,1.51,Atlantic Salmon - Finisher
Leucine,%,3.36,Atlantic Salmon - Finisher
Lysine,%,2.89,Atlantic Salmon - Finisher
Methionine,%,0.70,Atlantic Salmon - Finisher
Phenylalanine,%,1.93,Atlantic Salmon - Finisher
Threonine,%,1.38,Atlantic Salmon - Finisher
Tryptophan,%,0.35,Atlantic Salmon - Finisher
Valine,%,2.04,Atlantic Salmon - Finisher
Cystine,%,0.55,Atlantic Salmon - Finisher
Tyrosine,%,1.34,Atlantic Salmon - Finisher
Taurine,%,0.06,Atlantic Salmon - Finisher
Linoleic 18:2 n-6,%,1.76,Atlantic Salmon - Finisher
EPA 20:5 n-3,%,1.93,Atlantic Salmon - Finisher
DHA 22:6 n-3,%,1.04,Atlantic Salmon - Finisher
EPA+DHA,%,2.96,Atlantic Salmon - Finisher
Sum_n_3,%,5.25,Atlantic Salmon - Finisher
Linolenic 18:3 n-3,%,5.28,Atlantic Salmon - Finisher
Arachidonic 20:4 n-6,%,0.03,Atlantic Salmon - Finisher
Sum n-6,%,5.90,Atlantic Salmon - Finisher
Phospholipids,%,2.60,Atlantic Salmon - Finisher
Cholesterol,mg,1290.00,Atlantic Salmon - Finisher
Calcium,%,1.10,Atlantic Salmon - Finisher
Phosphorus,%,0.94,Atlantic Salmon - Finisher
Digestible P,%,0.56,Atlantic Salmon - Finisher
Dry Matter,%,91.79,Rainbow trout - Starter
Crude Protein,%,42.05,Rainbow trout - Starter
Crude Lipid,%,20.00,Rainbow trout - Starter
Crude Fibre,%,2.16,Rainbow trout - Starter
Ash,%,7.16,Rainbow trout - Starter
NFE,%,20.41,Rainbow trout - Starter
Starch,%,10.00,Rainbow trout - Starter
Dig CP -fish,%,37.60,Rainbow trout - Starter
DE Fish Carni MJ,MJ/kg,18.36,Rainbow trout - Starter
DE Fish Carni kcal,kcal/kg,4388,Rainbow trout - Starter
Arginine,%,2.96,Rainbow trout - Starter
Histidine,%,1.04,Rainbow trout - Starter
Isoleucine,%,1.96,Rainbow trout - Starter
Leucine,%,3.27,Rainbow trout - Starter
Lysine,%,2.65,Rainbow trout - Starter
Methionine,%,0.85,Rainbow trout - Starter
Phenylalanine,%,2.19,Rainbow trout - Starter
Threonine,%,1.70,Rainbow trout - Starter
Tryptophan,%,0.51,Rainbow trout - Starter
Valine,%,2.34,Rainbow trout - Starter
Cystine,%,0.78,Rainbow trout - Starter
Tyrosine,%,1.37,Rainbow trout - Starter
Taurine,%,0.06,Rainbow trout - Starter
Linoleic 18:2 n-6,%,1.55,Rainbow trout - Starter
EPA 20:5 n-3,%,0.86,Rainbow trout - Starter
DHA 22:6 n-3,%,0.61,Rainbow trout - Starter
EPA+DHA,%,1.50,Rainbow trout - Starter
Sum_n_3,%,3.39,Rainbow trout - Starter
Linolenic 18:3 n-3,%,3.29,Rainbow trout - Starter
Arachidonic 20:4 n-6,%,0.06,Rainbow trout - Starter
Sum n-6,%,3.73,Rainbow trout - Starter
Phospholipids,%,1.20,Rainbow trout - Starter
Cholesterol,mg,856,Rainbow trout - Starter
Calcium,%,1.27,Rainbow trout - Starter
Phosphorus,%,1.12,Rainbow trout - Starter
Digestible P,%,0.68,Rainbow trout - Starter
Dry Matter,%,91.86,Rainbow trout - Grower
Crude Protein,%,40.02,Rainbow trout - Grower
Crude Lipid,%,22.00,Rainbow trout - Grower
Crude Fibre,%,2.22,Rainbow trout - Grower
Ash,%,6.90,Rainbow trout - Grower
NFE,%,20.72,Rainbow trout - Grower
Starch,%,10.00,Rainbow trout - Grower
Dig CP -fish,%,35.70,Rainbow trout - Grower
DE Fish Carni MJ,MJ/kg,19.07,Rainbow trout - Grower
DE Fish Carni kcal,kcal/kg,4559,Rainbow trout - Grower
Arginine,%,2.81,Rainbow trout - Grower
Histidine,%,0.99,Rainbow trout - Grower
Isoleucine,%,1.85,Rainbow trout - Grower
Leucine,%,3.10,Rainbow trout - Grower
Lysine,%,2.50,Rainbow trout - Grower
Methionine,%,0.82,Rainbow trout - Grower
Phenylalanine,%,2.08,Rainbow trout - Grower
Threonine,%,1.61,Rainbow trout - Grower
Tryptophan,%,0.48,Rainbow trout - Grower
Valine,%,2.21,Rainbow trout - Grower
Cystine,%,0.76,Rainbow trout - Grower
Tyrosine,%,1.30,Rainbow trout - Grower
Taurine,%,0.06,Rainbow trout - Grower
Linoleic 18:2 n-6,%,1.85,Rainbow trout - Grower
EPA 20:5 n-3,%,0.77,Rainbow trout - Grower
DHA 22:6 n-3,%,0.53,Rainbow trout - Grower
EPA+DHA,%,1.30,Rainbow trout - Grower
Sum_n_3,%,3.50,Rainbow trout - Grower
Linolenic 18:3 n-3,%,3.83,Rainbow trout - Grower
Arachidonic 20:4 n-6,%,0.05,Rainbow trout - Grower
Sum n-6,%,4.32,Rainbow trout - Grower
Phospholipids,%,1.22,Rainbow trout - Grower
Cholesterol,mg,804,Rainbow trout - Grower
Calcium,%,1.22,Rainbow trout - Grower
Phosphorus,%,1.08,Rainbow trout - Grower
Digestible P,%,0.65,Rainbow trout - Grower
Dry Matter,%,92.22,Rainbow trout - Finisher
Crude Protein,%,38.10,Rainbow trout - Finisher
Crude Lipid,%,26.00,Rainbow trout - Finisher
Crude Fibre,%,1.94,Rainbow trout - Finisher
Ash,%,6.50,Rainbow trout - Finisher
NFE,%,19.69,Rainbow trout - Finisher
Starch,%,10.00,Rainbow trout - Finisher
Dig CP -fish,%,34.00,Rainbow trout - Finisher
DE Fish Carni MJ,MJ/kg,19.66,Rainbow trout - Finisher
DE Fish Carni kcal,kcal/kg,4700,Rainbow trout - Finisher
